iter	Passed	Remaining
0	61	6086
1	62	3061
2	63	2051
3	64	1547
4	65	1243
5	66	1039
6	67	894
7	68	784
8	69	698
9	70	631
10	70	574
11	71	526
12	72	485
13	73	451
14	74	420
15	75	394
16	75	370
17	76	349
18	77	330
19	78	312
20	78	296
21	79	282
22	80	268
23	81	256
24	81	245
25	82	234
26	83	225
27	84	216
28	84	207
29	85	199
30	86	191
31	86	184
32	87	178
33	88	171
34	89	165
35	89	159
36	91	155
37	92	150
38	92	145
39	93	140
40	94	135
41	95	131
42	96	127
43	97	124
44	98	120
45	98	116
46	99	112
47	100	108
48	101	105
49	101	101
50	102	98
51	102	95
52	103	91
53	104	88
54	104	85
55	105	82
56	105	79
57	106	77
58	107	74
59	108	72
60	108	69
61	109	67
62	110	64
63	110	62
64	111	59
65	111	57
66	112	55
67	113	53
68	113	51
69	114	49
70	115	47
71	115	45
72	116	43
73	117	41
74	117	39
75	118	37
76	118	35
77	119	33
78	119	31
79	120	30
80	121	28
81	121	26
82	122	25
83	123	23
84	123	21
85	124	20
86	125	18
87	125	17
88	126	15
89	127	14
90	127	12
91	128	11
92	129	9
93	129	8
94	130	6
95	131	5
96	131	4
97	132	2
98	133	1
99	133	0
