Unit (week),Day,Tags,Date,Links,category,Name
1,1,"bash, git, introduction, jupyter notebook","Mar 22, 2021","https://ironhack.zoom.us/rec/share/-HWT95nkoPTUN7hPhQTcTRIGenoZ9DAeAqMWjqe_PVJBTzJ1mfSpA-vwsrx3wmo8.KjcfGIffPlRpk_Yp?startTime=1616408721000, https://ironhack.zoom.us/rec/share/-HWT95nkoPTUN7hPhQTcTRIGenoZ9DAeAqMWjqe_PVJBTzJ1mfSpA-vwsrx3wmo8.KjcfGIffPlRpk_Yp?startTime=1616418141000, https://ironhack.zoom.us/rec/share/-HWT95nkoPTUN7hPhQTcTRIGenoZ9DAeAqMWjqe_PVJBTzJ1mfSpA-vwsrx3wmo8.KjcfGIffPlRpk_Yp?startTime=1616424140000",lecture,
1,2,"data cleaning, dataframes, healthcare for all, introduction, pandas","Mar 23, 2021",https://ironhack.zoom.us/recording/detail?meeting_id=SI3ca%2B4gRzmkcwZMpssDHg%3D%3D,lecture,
1,3,More cleaning in pandas,"Mar 24, 2021",https://ironhack.zoom.us/rec/share/jrW1CJghvVtu1Au5KVE23EPbANFqgyWmzPy1yEwh9aAsWTCb5KBjNrDWysJ80IWp.ygHfLvQw9drloYwV?startTime=1616577153000,lecture,
1,4,"Dates strings Regex in Python, EDA with numpy and pandas","Mar 25, 2021",https://ironhack.zoom.us/rec/share/zPGKOCp4a_Tga6KHrCdNsfNVziRYVOZV2RXSI_u2dhe-W9gzTWxhWwnID0ex9aWO.0lLtxZazjTFcY7sH?startTime=1616661038000,lecture,
1,5,numpy,"Mar 26, 2021","https://ironhack.zoom.us/rec/share/HxZQqq5MobfPvhXyfoUdmgY49bCymmhmjQDAqwOO2Aj2or692Dsi6S4xCzYaDdR6.bOOYuBoKBtNsCUYv?startTime=1616753714000, https://ironhack.zoom.us/rec/share/HxZQqq5MobfPvhXyfoUdmgY49bCymmhmjQDAqwOO2Aj2or692Dsi6S4xCzYaDdR6.bOOYuBoKBtNsCUYv?startTime=1616764302000",lecture,
2,1,"BI tools, python kata","Mar 29, 2021",https://ironhack.zoom.us/rec/share/CQQaIQOcDjyZSdkrAQ55r9gOT3NVXhodpzHVpmlJe5kZS_LlWBoqKOSAZiAXTxvD.cwmFA4okUVP7tuBr?startTime=1617003173000,lecture,
2,2,"presentations messy data project, python recap","Mar 30, 2021","https://ironhack.zoom.us/rec/share/EQClihUykZwrUA2ynDjghhX8kLUBzZnNblIGSl6P19FNffOZaSBr-V8XmP4cRPq9.vX2a1MMs2KK-rDaJ?startTime=1617090213000, https://ironhack.zoom.us/rec/share/EQClihUykZwrUA2ynDjghhX8kLUBzZnNblIGSl6P19FNffOZaSBr-V8XmP4cRPq9.vX2a1MMs2KK-rDaJ?startTime=1617107435000",lecture,
2,3,"Analyzing Trends with Tableau, Tableau introduction, Visualization Best Practices","Mar 31, 2021","https://ironhack.zoom.us/rec/share/dRvhZA6pV_IJ8Yem9pMureVn93euoHfOtIMQ-d7EEIBnBek-54JJC7Z3cCK1HZrr.qzGeSeWhHUyYlPfe?startTime=1617174880000, https://ironhack.zoom.us/rec/share/dRvhZA6pV_IJ8Yem9pMureVn93euoHfOtIMQ-d7EEIBnBek-54JJC7Z3cCK1HZrr.qzGeSeWhHUyYlPfe?startTime=1617197734000",lecture,
2,4,"Tableau introduction, Visualization Best Practices, tableau dashboards, tableau stories","Apr 1, 2021",https://ironhack.zoom.us/rec/share/AZC1WSwO74kQA9qc-AmRI4LGGLAy5b1YeBvDu898FLxQZ-zaBOikTFm1rgLjyKQJ.NwFearTFSxCx9UwK?startTime=1617262220000,lecture,
2,5,,"Apr 2, 2021",https://ironhack.zoom.us/rec/share/KRUIcxDJNlILcwd2aNSJjBggz6D5ZbgIkPCXEK8cgvJFhC3qg0y8Fy3AGJ4MZi8.D-gtkv4P8a49PFg2?startTime=1617352851000,lecture,
3,1,"Intro to SQL, SELECT, WHERE","Apr 5, 2021",https://ironhack.zoom.us/rec/share/RwTmIRZI46z3tATM52ZrMziQiLSHIS-OzJ44vwU6l65mnyh0K5kX3a9XCYqpbMBs.R2-Spi8jO3aVXqwc?startTime=1617607535000,lecture,
